factor_index,kind,factor_id,label,pose_ids,raw_residual,normalized_norm,robust_weight
97,odometry,96,"odom(96,97)","[96, 97]","[-0.05113328736581291, 0.006989029734458373, 0.006394977632290466]",1.0151014932625742,1.0
98,odometry,97,"odom(97,98)","[97, 98]","[-0.05104889816491587, 0.007087850489737729, 0.004529800404993178]",0.9827640278966072,1.0
99,odometry,98,"odom(98,99)","[98, 99]","[-0.050842204368303, 0.00732563687964248, 0.003756055464668062]",0.9705016334881201,1.0
100,odometry,99,"odom(99,100)","[99, 100]","[-0.05098786710823211, 0.007155672939895949, 0.0018608175782302006]",0.9549406889447724,1.0
101,odometry,100,"odom(100,101)","[100, 101]","[-0.09353412330687516, 0.02237593524030323, 0.016319829745825576]",2.0304820877863565,1.0
102,odometry,101,"odom(101,102)","[101, 102]","[-0.09163056378625212, 0.023630308845811226, 0.014908803509171342]",1.9792538852139225,1.0
103,odometry,102,"odom(102,103)","[102, 103]","[-0.06791133664241689, 0.034334422097519635, 0.006725221089284528]",1.6206586617449954,1.0
104,odometry,103,"odom(103,104)","[103, 104]","[-0.05332007823207929, 0.038324951653109965, -0.0029654149880364855]",1.4717363401134747,1.0
105,odometry,104,"odom(104,105)","[104, 105]","[-0.053010990542687986, 0.03839293317841187, -0.011913995179489767]",1.6032330443265987,1.0
106,odometry,105,"odom(105,106)","[105, 106]","[-0.1544940420932212, 0.06540030072080952, 0.028940819093243864]",3.7372543607663333,1.0
107,odometry,106,"odom(106,107)","[106, 107]","[-0.1480015996499311, 0.0678149599339269, 0.015201390381875513]",3.421774941486121,1.0
108,odometry,107,"odom(107,108)","[107, 108]","[-0.1433890680136095, 0.06941797114575353, 0.00033732055252810866]",3.2758120818164658,1.0
109,odometry,108,"odom(108,109)","[108, 109]","[-0.14360481677260706, 0.06934129734754091, -0.007997453831461332]",3.3075342240113095,1.0
110,odometry,109,"odom(109,110)","[109, 110]","[-0.1433035517956034, 0.0694398428176792, -0.022588858549495328]",3.5071119055918354,1.0
111,odometry,110,"odom(110,111)","[110, 111]","[-0.29242449912393575, 0.13778832719607836, 0.03603370766292269]",6.91190427338839,1.0
112,odometry,111,"odom(111,112)","[111, 112]","[-0.27769343685261805, 0.14269417671321033, 0.026778861155456468]",6.657863445911884,1.0
113,odometry,112,"odom(112,113)","[112, 113]","[-0.20627882875897352, 0.1613331224450992, -0.010330360808960215]",5.970214161639009,1.0
114,odometry,113,"odom(113,114)","[113, 114]","[-0.09375174990022861, 0.1776602509216033, -0.05032729724740115]",6.040598491365377,1.0
115,odometry,114,"odom(114,115)","[114, 115]","[-0.05435936598814478, 0.1803301475467006, -0.07364050945730316]",6.65284549047408,1.0
116,odometry,115,"odom(115,116)","[115, 116]","[0.15929576162380799, 0.3494326145448182, 0.03543428911701696]",10.58016033313797,1.0
117,odometry,116,"odom(116,117)","[116, 117]","[0.1599920354157186, 0.3493788676943534, -0.0607501972059481]",10.931516297073902,1.0
118,odometry,117,"odom(117,118)","[117, 118]","[0.10678215791362411, 0.35268965878407055, -0.15497991886575813]",13.395681165169856,1.0
119,odometry,118,"odom(118,119)","[118, 119]","[0.5053659157096433, -0.4074416673668803, -0.047078372874057806]",15.059414897876946,1.0
120,odometry,119,"odom(119,120)","[119, 120]","[0.5266004464322095, -0.4030118493945329, 0.06503083670750298]",15.404906597603377,1.0
121,odometry,120,"odom(120,121)","[120, 121]","[-0.0027688463829718124, -0.18907735212462873, -0.0625812195235822]",6.424491430197429,1.0
122,odometry,121,"odom(121,122)","[121, 122]","[0.025838795782937685, -0.18879153141446808, -0.039352456593807705]",5.8391861673755745,1.0
123,odometry,122,"odom(122,123)","[122, 123]","[-0.11220407545743227, -0.18353898911799027, -0.007823014702938114]",5.643582456300335,1.0
124,odometry,123,"odom(123,124)","[123, 124]","[-0.2899138902605923, -0.1482150938108539, 0.009707252958831791]",6.782979323865714,1.0
125,odometry,124,"odom(124,125)","[124, 125]","[-0.37702083646161927, -0.11153542561976065, 0.020762094364967343]",7.646937869035197,1.0
126,odometry,125,"odom(125,126)","[125, 126]","[-0.1271301286388553, -0.030756928763901563, 8.557955931820516e-05]",2.472871039744207,1.0
127,odometry,126,"odom(126,127)","[126, 127]","[-0.15426867161717028, -0.038101783524923744, 0.008718073920467528]",3.047467961149079,1.0
128,odometry,127,"odom(127,128)","[127, 128]","[-0.15430167574323117, -0.03807849664357327, 0.013921035822829886]",3.106852128580898,1.0
129,odometry,128,"odom(128,129)","[128, 129]","[-0.15696406417385012, -0.03624844589300573, 0.022106488855622608]",3.2750016330228022,1.0
130,odometry,129,"odom(129,130)","[129, 130]","[-0.1592565390070465, -0.03456798907910122, 0.0286213907356494]",3.4479207131553498,1.0
131,odometry,130,"odom(130,131)","[130, 131]","[-0.10869633654542776, -0.026115554803959266, 0.008339580840432514]",2.162674030264855,1.0
132,odometry,131,"odom(131,132)","[131, 132]","[-0.10898329672985874, -0.025917539496162878, 0.010740753760306365]",2.197908702346879,1.0
133,odometry,132,"odom(132,133)","[132, 133]","[-0.10942838771399643, -0.025607202475763778, 0.01606003421443125]",2.299975853797018,1.0
134,odometry,133,"odom(133,134)","[133, 134]","[-0.12061790799610839, -0.015282761123083938, 0.016532056860036448]",2.417372623816278,1.0
135,odometry,134,"odom(134,135)","[134, 135]","[-0.12582092927307886, 0.004823465656846729, 0.01449332145027249]",2.4291298981250566,1.0
